Time(GMT),Topic,CMD,Frame ID,확장 Frame ID,Data,DIAG_DATA,MON_DATA,WIFI_DATA,Raw Data
01:25:21,clip/provisioning/devices,deploy,0xt ,,,,,,"{""mid"":364791,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""deploy"",""rssi"":-52,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":{""appInfo"":{""rollbackInfo"":{""area_b"":""clip_ble_v1.9.215"",""active"":""area_b"",""area_a"":""clip_ble_v1.9.212""},""modelName"":""FAKPU23016"",""modelLanguage"":""02"",""softVer"":""2.11.315"",""ruleVer"":""2.11.315"",""countryCode"":""US"",""subCountryCode"":""US"",""appVersion"":""clip_ble_v1.9.215"",""modemType"":""RTK_RTL8720cm"",""regionalCode"":""aic-qa"",""timezone"":""-0400"",""svcCode"":""SVC202"",""HomeApSsid"":"""",""DeviceType"":""221"",""ruleEngine"":""y"",""protocolVer"":""6"",""oneshot"":""y"",""size"":2097152,""fwUpgradeInfo"":{""upgSched"":{""cmd"":""none"",""upgUtc"":""0""}},""modemConfig"":{""online_check"":""y"",""device_status"":""y""},""schedFota"":""y"",""prodParam"":""01C80155530000"",""packageId"":""24465720144657101|1""},""platformInfo"":{""provisioningKey"":""FAKPU23016"",""version"":""clip_v2.00.15.05-SDK-8-RELEASE""},""extraProfile"":{""resetDetails"":{""reason"":""POWER_ON"",""cnt"":5},""profiling"":[{""st"":14,""n"":""PREF_wlan_connect_thread"",""s"":626,""e"":3567,""d"":2941,""c"":1},{""st"":15,""n"":""PREF_wlan_connect_thread_N"",""s"":828,""e"":3567,""d"":2739,""c"":1},{""st"":16,""n"":""PERF_association"",""s"":2307,""e"":3692,""d"":1385,""c"":1},{""st"":17,""n"":""PERF_4wayhs"",""s"":3692,""e"":3720,""d"":28,""c"":1},{""st"":18,""n"":""PERF_dhcp"",""s"":3722,""e"":4231,""d"":509,""c"":1},{""st"":23,""n"":""PERF_req_server_addr_nS_N"",""s"":295943,""e"":297754,""d"":1811,""c"":4},{""st"":24,""n"":""PERF_req_server_addr_save"",""s"":297754,""e"":297754,""d"":0,""c"":4},{""st"":25,""n"":""PERF_route"",""s"":361334,""e"":361335,""d"":1,""c"":5},{""st"":27,""n"":""PERF_csr"",""s"":361335,""e"":361346,""d"":11,""c"":5},{""st"":30,""n"":""PERF_mqtt"",""s"":361331,""e"":364780,""d"":3449,""c"":5},{""st"":31,""n"":""PERF_cloudlet"",""s"":293411,""e"":296099,""d"":2688,""c"":4},{""st"":33,""n"":""PERF_provisioning"",""s"":364781,""e"":293418,""d"":17,""c"":5},{""st"":38,""n"":""PERF_first_mon"",""s"":297549,""e"":297549,""d"":0,""c"":4}],""routerCnt"":1,""mqttCnt"":4,""bootId"":""15708512311651032903"",""cctld"":"""",""cctld_result"":-79,""api-server"":""https://aic-qa-common.lgthinq.com:443"",""mqtt-server"":""ssl://common-qa.iot.aic.lgthinq.com:8883"",""bleprog"":[{""st"":1,""n"":""BLE_INIT"",""s"":690,""e"":0,""d"":0,""c"":1}]}},""type"":0}"
01:25:21,lime/devices,completeProvisioning,0xt ,,,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750901121791,""cmd"":""completeProvisioning"",""type"":0,""data"":{""result"":0,""host"":""message"",""appInfo"":{""host"":""message"",""publication"":{""message"":""clip/message/devices/a37da83a-b7dd-1af0-a778-34e6e696b22c"",""provisioning"":""clip/provisioning/devices/a37da83a-b7dd-1af0-a778-34e6e696b22c""}},""provisioningType"":""deploy""}}"
01:25:21,lime/devices,packet,0xCE,,AA2EF0CE01000000010001040005000CFEFF010000FFFFFFFFFFFFFFFFFFFFFFFFFFFF000074BE8902932E0049BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750901121792,""cmd"":""packet"",""type"":1,""data"":""AA2EF0CE01000000010001040005000CFEFF010000FFFFFFFFFFFFFFFFFFFFFFFFFFFF000074BE8902932E0049BB""}"
01:25:21,lime/devices,modem_cmd_ext,0xt ,,,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750901121792,""cmd"":""modem_cmd_ext"",""type"":0,""data"":{""subcmd"":""cctld"",""type"":4,""jira"":""SMTCO-3489""}}"
01:25:21,lime/devices,packet,0x28,,AA06F0289DBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750901121830,""cmd"":""packet"",""type"":1,""data"":""AA06F0289DBB""}"
01:25:21,lime/devices,packet,0x29,,AA07F029019EBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750901121792,""cmd"":""packet"",""type"":1,""data"":""AA07F029019EBB""}"
01:25:22,clip/message/devices,completeProvisioning_ack,,,,,,,"{""mid"":366098,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""completeProvisioning_ack"",""rssi"":-52,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":null,""type"":1}"
01:25:22,lime/devices,packet,0xED,,AA12F0ED1121010000001804111200005EBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750901122078,""cmd"":""packet"",""type"":1,""data"":""AA12F0ED1121010000001804111200005EBB""}"
01:25:23,clip/message/devices,device_packet,0x3E,,AA0B333E00000000057EBB,,,,"{""mid"":367292,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-52,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AA0B333E00000000057EBB"",""type"":1}"
01:25:23,lime/devices,ack,0x00,,AA08F0003E04B1BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750901123270,""cmd"":""ack"",""type"":1,""data"":""AA08F0003E04B1BB""}"
